name,gender,year,total
Sophia,F,2013,21075
Emma,F,2013,20788
Olivia,F,2013,18256
Noah,M,2013,18090
Liam,M,2013,18002
Jacob,M,2013,17976
Mason,M,2013,17591
Isabella,F,2013,17490
William,M,2013,16495
Ethan,M,2013,16127
Michael,M,2013,15366
Ava,F,2013,15129
Alexander,M,2013,14771
Jayden,M,2013,14656
Daniel,M,2013,14140
Elijah,M,2013,13626
Aiden,M,2013,13527
James,M,2013,13416
Benjamin,M,2013,13373
Matthew,M,2013,13226
Mia,F,2013,13066
Emily,F,2013,13044
Jackson,M,2013,12488
Abigail,F,2013,12313
Logan,M,2013,12270
David,M,2013,12226
Anthony,M,2013,12164
Joseph,M,2013,12095
Joshua,M,2013,11680
Andrew,M,2013,11568
Lucas,M,2013,11451
Gabriel,M,2013,11112
Samuel,M,2013,10957
Christopher,M,2013,10765
John,M,2013,10588
Madison,F,2013,10529
Dylan,M,2013,10058
Isaac,M,2013,10005
Ryan,M,2013,9808
Nathan,M,2013,9620
Carter,M,2013,9512
Caleb,M,2013,9500
Luke,M,2013,9497
Elizabeth,F,2013,9345
Christian,M,2013,9257
Charlotte,F,2013,9232
Avery,F,2013,9121
Sofia,F,2013,9108
Hunter,M,2013,8887
Henry,M,2013,8802
Chloe,F,2013,8714
Owen,M,2013,8702
Landon,M,2013,8679
Jack,M,2013,8506
Wyatt,M,2013,8490
Jonathan,M,2013,8476
Ella,F,2013,8370
Harper,F,2013,8222
Amelia,F,2013,7979
Aubrey,F,2013,7927
Eli,M,2013,7867
Isaiah,M,2013,7754
Addison,F,2013,7677
Evelyn,F,2013,7616
Sebastian,M,2013,7491
Jaxon,M,2013,7479
Julian,M,2013,7465
Natalie,F,2013,7430
Brayden,M,2013,7384
Gavin,M,2013,7379
Levi,M,2013,7335
Grace,F,2013,7296
Aaron,M,2013,7246
Hannah,F,2013,7222
Oliver,M,2013,7209
Zoey,F,2013,7187
Victoria,F,2013,7155
Jordan,M,2013,7128
Nicholas,M,2013,7078
Evan,M,2013,7070
Connor,M,2013,7058
Lillian,F,2013,7017
Charles,M,2013,6955
Lily,F,2013,6935
Jeremiah,M,2013,6888
Brooklyn,F,2013,6833
Cameron,M,2013,6809
Adrian,M,2013,6796
Thomas,M,2013,6708
Robert,M,2013,6641
Tyler,M,2013,6590
Samantha,F,2013,6453
Austin,M,2013,6441
Layla,F,2013,6440
Colton,M,2013,6439
Jace,M,2013,6341
Angel,M,2013,6311
Dominic,M,2013,6277
Josiah,M,2013,6223
Brandon,M,2013,6180
Ayden,M,2013,6035
Zoe,F,2013,5920
Kevin,M,2013,5878
Zachary,M,2013,5685
Parker,M,2013,5622
Blake,M,2013,5601
Jose,M,2013,5572
Audrey,F,2013,5563
Leah,F,2013,5550
Chase,M,2013,5504
